source_id,ra,dec,G,BP,RP,ra,dec,g_ps,r_ps,i_ps
3257427480757089536,58.41713144707714,-0.019845776899796864,15.15251,15.703862,14.439935,58.41713096456066,-0.01984663523566609,15.836400032043457,15.156900405883789,14.828700065612793
3257427545179812608,58.39769836026939,-0.011232968022464075,19.507578,20.103594,18.75647,58.397698905046916,-0.011228900609411094,20.263999938964844,19.492300033569336,19.10610008239746
3257427716978509568,58.37754520386424,-0.004697292742154621,20.774696,21.113482,20.015667,58.37754503669533,-0.004694459076624963,21.54509925842285,20.793500900268555,20.375999450683594
3257427785697986688,58.367414805747124,-0.004532170177392049,19.49891,20.907055,18.343618,58.36741235735876,-0.004520332180975049,21.438400268554688,19.934099197387695,18.818700790405273
3257427789994982784,58.37466449164231,-0.0047747038616297414,20.143831,21.004482,18.589382,58.37462840844433,-0.004755559433928305,21.624099731445312,20.4601993560791,19.113100051879883
3257427820057841664,58.37227730528255,0.008960208680124615,20.946009,20.424599,20.262505,58.372254775642865,0.008962725984577126,20.92020034790039,20.9778995513916,21.088300704956055
3257450634924609792,58.26470776027502,-0.04524357253972731,20.480013,21.355852,19.278473,58.26469542357397,-0.04523727731550157,,21.24209976196289,19.749799728393555
3257450634924628352,58.275900104173274,-0.04249742121880821,20.8331,21.81509,19.532,58.275909177980935,-0.042481678411810005,,21.508800506591797,20.097400665283203
3257450669283703040,58.303180594982265,-0.045796323481525,20.042488,21.362474,18.910318,58.303178485038465,-0.045795297224021654,21.934499740600586,20.550899505615234,19.32819938659668
3257450673580495872,58.294210033613815,-0.04481504200577995,17.48729,18.321623,16.632597,58.294208988644364,-0.04481175086707409,18.563100814819336,17.487699508666992,17.021499633789062
3257450673580497280,58.28706984742966,-0.04981002826794376,15.083414,15.588986,14.400045,58.287059709807416,-0.04980160842425481,15.712900161743164,15.09939956665039,14.777700424194336
3257450742299971456,58.281820618446396,-0.029304160252827074,16.740166,17.369308,15.984703,58.281814168245354,-0.0293033517795192,17.54789924621582,16.712900161743164,16.361600875854492
